,state,state_median_price
0,Puerto Rico,95000.0
1,New York,229900.0
820,Wyoming,615000.0
1872,Georgia,325000.0
1919,Vermont,425000.0
2515,Pennsylvania,255890.0
7381,West Virginia,199000.0
9000,New Jersey,669500.0
35156,Delaware,349900.0
207853,Ohio,164900.0
228176,Maryland,399900.0
273843,Virginia,400957.0
282983,Colorado,550000.0
349741,District of Columbia,650000.0
512367,Wisconsin,309900.0
555637,North Carolina,305040.0
573429,Kentucky,254900.0
578326,South Carolina,310862.0
581888,Tennessee,344900.0
786145,Mississippi,245000.0
840447,Alabama,274900.0
932304,Florida,340000.0
1078073,,
1263103,Texas,340000.0
1314859,Missouri,240000.0
1316090,Arkansas,265000.0
1339276,Louisiana,250012.5
1366846,Indiana,259900.0
1449440,Illinois,235900.0
1523150,Michigan,214900.0
1725760,Iowa,182000.0
1736311,Minnesota,350000.0
1744064,South Dakota,275000.0
1744337,Nebraska,275000.0
1869168,North Dakota,254900.0
1877312,Montana,459000.0
1888884,Idaho,495000.0
2013539,Kansas,190000.0
2035077,Oklahoma,213000.0
2199993,New Mexico,272345.0
2569276,Utah,599000.0
2580488,Nevada,509900.0
2582542,Washington,550000.0
2584016,Oregon,495000.0
2609754,Arizona,430000.0
2650553,California,693000.0
2873045,Hawaii,725000.0
2878761,Guam,372000.0
3002197,Alaska,429000.0
