,zip_code,zip_freq
0,12529,64
8,12546,100
13,12123,26
14,12184,31
15,12106,15
16,12029,12
26,12125,45
29,12517,2
48,12060,19
57,12090,30
61,12018,25
62,12061,1
65,12075,24
88,12521,8
96,12037,31
100,12062,10
102,12136,8
120,12196,9
126,12052,38
208,12153,4
209,12523,20
211,12592,12
212,12545,72
215,12501,13
216,12522,38
217,12594,32
227,12571,6
281,12534,429
312,12578,22
313,11954,29
331,12837,66
342,12816,219
354,12873,58
373,12865,262
412,12834,105
421,12094,2
436,12185,36
492,12154,20
514,12819,12
531,12887,117
546,12839,57
549,12827,22
560,12809,161
567,12832,226
572,12841,6
734,12828,7
775,12849,15
808,12838,88
906,12944,14
909,12901,109
912,30228,3907
937,12972,80
942,12993,48
966,12950,15
982,12936,15
994,12962,36
1038,12903,10
1099,12998,1
1101,12928,22
1104,12992,14
1116,12979,8
1139,12836,5
1142,12870,20
1143,12855,3
1156,11957,35
1163,11939,3
1173,12563,144
1179,10509,218
1232,12585,6
1254,12580,27
1374,10512,64
1450,11961,39
1451,11777,46
1452,11727,114
1454,11720,36
1455,11733,31
1456,11766,34
1457,12533,133
1465,10541,36
1466,12570,2
1503,11792,25
1504,11789,21
1518,11764,28
1524,11790,15
1527,11776,27
1537,11778,108
1559,11784,74
1563,11786,18
1567,11953,19
1596,11755,16
1639,11738,35
1816,10590,3
1818,11225,82
1825,10466,43
1826,10468,26
1827,11372,76
1828,10463,117
1829,11221,225
1836,11368,174
1839,11226,231
1846,10005,49
1847,10065,99
1849,10471,84
1850,10458,26
1852,10014,69
1856,10022,120
1860,10003,106
1864,11232,239
1871,10035,32
1875,11207,401
1882,11206,92
1889,10016,143
1891,10001,37
1892,10011,142
1896,10025,60
1897,10462,87
1898,11215,309
1905,10034,14
1906,10456,26
1909,11377,157
1912,10024,59
1916,10013,86
1919,10019,121
1924,11220,779
1932,10128,42
1934,10017,40
1935,10004,22
1939,10028,40
1940,11238,247
1951,10457,25
1953,11211,95
1962,10021,59
1964,10075,31
1965,11201,687
1972,10460,16
1981,11217,109
1982,11208,337
1991,10010,66
1992,10467,51
1993,11385,393
2009,11249,94
2017,11102,31
2018,11212,118
2025,10473,56
2032,11203,294
2060,11230,598
2078,10023,138
2079,10032,23
2080,10452,7
2081,10469,78
2082,10465,91
2084,10027,57
2085,10012,23
2124,10007,41
2131,11373,65
2132,10451,8
2141,11213,107
2151,10472,22
2168,11233,281
2190,11106,38
2192,10069,40
2214,10031,24
2258,10461,45
2269,10453,5
2283,11237,49
2290,10459,27
2293,10006,54
2313,11205,80
2359,10033,21
2368,10036,30
2402,10026,29
2404,10280,32
2425,11104,44
2439,11379,35
2477,11222,103
2486,11219,322
2518,11218,253
2530,11369,5
2533,11216,102
2543,10454,2
2545,10029,33
2582,11370,8
2611,10038,38
2616,11101,55
2777,10039,29
2808,10002,27
2849,11356,2
2853,10470,22
2898,10474,4
2941,11231,114
3002,10040,15
3106,10030,13
3156,11378,6
3216,11210,708
3255,11105,21
3524,11236,730
3689,10037,9
3712,11421,46
3716,10314,315
3724,10301,162
3726,10310,100
3727,10305,214
3736,11209,1463
3770,10304,154
3788,10303,108
3818,10302,58
3819,11228,924
5659,11355,164
5669,11358,80
5674,11434,108
5681,11432,103
5683,11375,663
5685,11361,105
5690,11360,141
5698,11436,28
5710,11354,227
5766,11412,30
5773,11435,84
5782,10103,1
5784,11374,2
5792,11367,36
5803,11418,37
5823,11423,26
5844,10455,4
5846,10018,8
5854,10705,9
5872,11420,14
5961,11364,63
5990,11413,27
6061,11433,57
6095,11357,34
6109,10009,7
6194,11365,16
6237,10475,8
6526,11427,4
6603,11366,15
6728,11214,1324
6735,10312,267
6736,10307,70
6738,10306,247
6741,10308,124
6800,10309,159
6845,11204,483
7884,11223,835
8129,10962,4
8135,10965,48
8264,11235,2297
8295,11234,2024
8308,11229,1869
8506,11224,680
8681,11693,25
8816,11239,14
9485,11694,10
9680,10960,28
9681,10954,24
9683,10950,720
9698,10918,256
9714,10987,20
